57 mini_c2tm_311.seq 4.0, 2.26, -4.0, 102.8, -10.657, [50.0], [1], [180], -2.0
56 mini_c2tm_312.seq 4.0, 2.26, -4.0, 102.8, -10.657, [50.0], [1], [180], -2.5
56 mini_c2tm_313.seq 4.0, 2.26, -4.0, 102.8, -10.657, [50.0], [1], [180], -3.0
50 mini_c2tm_314.seq 4.0, 2.26, -4.0, 102.8, -10.657, [50.0], [1], [180], -3.5
64 mini_c2tm_315.seq 4.0, 2.26, -3.0, 102.8, -7.973, [60.0], [1], [180], 2.0
63 mini_c2tm_316.seq 4.0, 2.26, -3.0, 102.8, -7.973, [60.0], [1], [180], 2.5
59 mini_c2tm_317.seq 4.0, 2.26, -3.0, 102.8, -7.973, [60.0], [1], [180], 3.0
64 mini_c2tm_318.seq 4.0, 2.26, -3.0, 102.8, -7.973, [60.0], [1], [180], -2.0
63 mini_c2tm_319.seq 4.0, 2.26, -3.0, 102.8, -7.973, [60.0], [1], [180], -2.5
18 mini_c2tm_31.seq 3.8, 2.26, -3.5, 102.8, -8.843, [20.0], [1], [180], -2.0
59 mini_c2tm_320.seq 4.0, 2.26, -3.0, 102.8, -7.973, [60.0], [1], [180], -3.0
61 mini_c2tm_321.seq 4.0, 2.26, -3.0, 102.8, -7.973, [60.0], [1], [180], -3.5
64 mini_c2tm_322.seq 4.0, 2.26, -3.5, 102.8, -9.312, [60.0], [1], [180], 2.0
58 mini_c2tm_323.seq 4.0, 2.26, -3.5, 102.8, -9.312, [60.0], [1], [180], 2.5
57 mini_c2tm_324.seq 4.0, 2.26, -3.5, 102.8, -9.312, [60.0], [1], [180], 3.0
64 mini_c2tm_325.seq 4.0, 2.26, -3.5, 102.8, -9.312, [60.0], [1], [180], -2.0
58 mini_c2tm_326.seq 4.0, 2.26, -3.5, 102.8, -9.312, [60.0], [1], [180], -2.5
57 mini_c2tm_327.seq 4.0, 2.26, -3.5, 102.8, -9.312, [60.0], [1], [180], -3.0
50 mini_c2tm_328.seq 4.0, 2.26, -3.5, 102.8, -9.312, [60.0], [1], [180], -3.5
